종목코드,종목명,추정수량,현재가,평가금액,비중(%),등락률(%),지분율(%),업종,기준일
121600,나노신소재,336770,40600.0,13672862000,0.0034,0.7444168734491274,2.77,화학,2026-07-22
036620,감성코퍼레이션,3636364,3745.0,13618183180,0.0034,-2.3468057366362483,3.97,도매,2026-07-22
089590,제주항공,3250094,4175.0,13569142450,0.0033,0.11990407673860837,6.06,항공운송,2026-07-22
271940,일진하이솔루스,1373999,9860.0,13547630140,0.0033,1.1282051282051286,3.78,기타 운송장비,2026-07-22
035760,CJ ENM,458101,29200.0,13376549200,0.0033,1.038062283737018,2.09,방송,2026-07-22
183190,아세아시멘트,1478599,8970.0,13263033030,0.0033,0.22346368715084886,3.9,비금속광물제품,2026-07-22
033240,자화전자,517388,25500.0,13193394000,0.0032,6.694560669456062,2.33,전자부품·통신장비,2026-07-22
306200,세아제강,104391,126000.0,13153266000,0.0032,0.6389776357827559,3.69,1차금속,2026-07-22
251970,펌텍코리아,342529,38350.0,13135987150,0.0032,-2.9113924050632956,2.76,고무·플라스틱,2026-07-22
034230,파라다이스,1343750,9730.0,13074687500,0.0032,0.6204756980351611,1.46,스포츠·오락,2026-07-22
036530,SNT홀딩스,257778,49450.0,12747122100,0.0031,-3.41796875,1.57,금융,2026-07-22
192650,드림텍,2971114,4200.0,12478678800,0.0031,-1.7543859649122862,4.32,전자부품·통신장비,2026-07-22
330590,롯데리츠,3573770,3490.0,12472457300,0.0031,0.1434720229555264,1.24,부동산,2026-07-22
053610,프로텍,192220,64300.0,12359746000,0.003,1.579778830963674,1.74,기계·장비,2026-07-22
174900,앱클론,623229,19660.0,12252682140,0.003,-1.0568696527428312,3.57,의약품,2026-07-22
145990,삼양사,285714,42500.0,12142845000,0.003,-1.8475750577367167,2.77,식료품,2026-07-22
105840,우진,879121,13790.0,12123078590,0.003,5.832693783576359,4.32,의료·정밀기기,2026-07-22
004690,삼천리,105856,113900.0,12056998400,0.003,1.787310098302064,2.62,전기·가스,2026-07-22
225570,넥슨게임즈,1486184,8100.0,12038090400,0.003,-0.36900369003689537,2.26,출판,2026-07-22
399720,가온칩스,278772,43100.0,12015073200,0.003,-4.6460176991150455,2.41,전자부품·통신장비,2026-07-22
358570,지아이이노베이션,1700449,7030.0,11954156470,0.0029,2.328966521106257,3.19,연구개발,2026-07-22
265520,AP시스템,634518,18730.0,11884522140,0.0029,-2.0909566126502854,4.13,기계·장비,2026-07-22
102710,이엔에프테크놀로지,291320,40300.0,11740196000,0.0029,3.3333333333333437,2.03,화학,2026-07-22
017810,풀무원,1345794,8700.0,11708407800,0.0029,-0.7981755986317007,3.53,식료품,2026-07-22
108670,LX하우시스,366058,31800.0,11640644400,0.0029,1.11287758346581,5.15,고무·플라스틱,2026-07-22
108490,로보티즈,53001,219500.0,11633719500,0.0029,11.421319796954311,0.39,,2026-07-22
192400,쿠쿠홀딩스,452174,25550.0,11553045700,0.0028,-0.1953125,1.27,,2026-07-22
194370,제이에스코퍼레이션,946996,11400.0,10795754400,0.0027,0.4405286343612369,3.47,,2026-07-22
003240,태광산업,12685,844000.0,10706140000,0.0026,2.5516403402187082,1.14,,2026-07-22
097955,CJ제일제당 우,86751,122000.0,10583622000,0.0026,2.780117944397631,6.55,식료품,2026-07-22
007460,에이프로젠,4896907,2150.0,10528350050,0.0026,-1.1494252873563204,1.6,,2026-07-22
011785,금호석유우,211838,49600.0,10507164800,0.0026,0.0,7.02,화학,2026-07-22
